company_name,png_filename,iata_code,country,service_status,logo_status
Air Astana,air_astana.png,KC,Kazakhstan,active/current pack,ok
Uzbekistan Airways,uzbekistan_airways.png,HY,Uzbekistan,active/current pack,ok
Qazaq Air,qazaq_air.png,IQ,Kazakhstan,active/current pack,ok
Azerbaijan Airlines,azerbaijan_airlines.png,J2,Azerbaijan,active/current pack,ok
Georgian Airways,georgian_airways.png,A9,Georgia,active/current pack,ok
Turkmenistan Airlines,turkmenistan_airlines.png,T5,Turkmenistan,active/current pack,ok
Somon Air,somon_air.png,SZ,Tajikistan,active/current pack,ok
Aeroflot,aeroflot.png,SU,Russia,active/current pack,ok
Turkish Airlines,turkish_airlines.png,TK,Turkey,active/current pack,ok
Lufthansa,lufthansa.png,LH,Germany,active/current pack,ok
SWISS,swiss.png,LX,Switzerland,active/current pack,ok
Austrian Airlines,austrian_airlines.png,OS,Austria,active/current pack,ok
British Airways,british_airways.png,BA,United Kingdom,active/current pack,ok
Virgin Atlantic,virgin_atlantic.png,VS,United Kingdom,active/current pack,ok
Air France,air_france.png,AF,France,active/current pack,ok
KLM,klm.png,KL,Netherlands,active/current pack,ok
LOT Polish Airlines,lot_polish_airlines.png,LO,Poland,active/current pack,ok
ITA Airways,ita_airways.png,AZ,Italy,active/current pack,ok
Finnair,finnair.png,AY,Finland,active/current pack,ok
Air Serbia,air_serbia.png,JU,Serbia,active/current pack,ok
Aegean Airlines,aegean_airlines.png,A3,Greece,active/current pack,ok
Ethiopian Airlines,ethiopian_airlines.png,ET,Ethiopia,active/current pack,ok
Kenya Airways,kenya_airways.png,KQ,Kenya,active/current pack,ok
Air Tanzania,air_tanzania.png,TC,Tanzania,active/current pack,ok
RwandAir,rwandair.png,WB,Rwanda,active/current pack,ok
Air Mauritius,air_mauritius.png,MK,Mauritius,active/current pack,ok
EgyptAir,egyptair.png,MS,Egypt,active/current pack,ok
Air Seychelles,air_seychelles.png,HM,Seychelles,active/current pack,ok
United Airlines,united_airlines.png,UA,United States,active/current pack,ok
American Airlines,american_airlines.png,AA,United States,active/current pack,ok
Air Canada,air_canada.png,AC,Canada,active/current pack,ok
Qantas,qantas.png,QF,Australia,active/current pack,ok
Batik Air,batik_air.png,ID,Indonesia,active/current pack,ok
Vistara,vistara.png,UK,India,legacy/merged,ok
Go First / GoAir,go_first.png,G8,India,legacy/merged,ok
Jet Airways,jet_airways.png,9W,India,legacy/merged,ok
AirAsia India,airasia_india.png,I5,India,legacy/merged,ok
TruJet,trujet.png,2T,India,legacy/merged,ok
Kingfisher Airlines,kingfisher_airlines.png,IT,India,legacy/merged,ok
JetLite,jetlite.png,S2,India,legacy/merged,ok
Air Costa,air_costa.png,LB,India,legacy/merged,ok
Zoom Air,zoom_air.png,ZO,India,legacy/merged,ok
Air Pegasus,air_pegasus.png,OP,India,legacy/merged,ok
